Active Time,Duration,Description,Area,Tag
2024-03-15 06:45:22,45,CHUTE 12 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone A,CHUTE12_JAM_PB
2024-03-15 07:02:11,120,CHUTE 18 PHOTO BLOCKED - MULTIPLE PACKAGES STACKED,Zone B,CHUTE18_JAM_PB
2024-03-15 07:15:33,30,IND01 PHOTO BLOCKED - INDUCT BACKUP,Zone A,IND01_JAM_PB
2024-03-15 07:28:44,65,CHUTE 22 PHOTO BLOCKED - OVERSIZED PACKAGE,Zone A,CHUTE22_JAM_PB
2024-03-15 07:45:12,180,CHUTE 18 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone B,CHUTE18_JAM_PB
2024-03-15 08:02:55,25,CHUTE 09 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE09_JAM_PB
2024-03-15 08:18:33,90,LOAD DETECT JAM - BELT ACCUMULATION,Zone A,LD_MAIN_JAM
2024-03-15 08:35:17,55,CHUTE 12 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone A,CHUTE12_JAM_PB
2024-03-15 08:52:44,35,IND02 PHOTO BLOCKED - INDUCT BACKUP,Zone B,IND02_JAM_PB
2024-03-15 09:05:28,150,CHUTE 18 PHOTO BLOCKED - MULTIPLE PACKAGES STACKED,Zone B,CHUTE18_JAM_PB
2024-03-15 09:22:11,40,CHUTE 05 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE05_JAM_PB
2024-03-15 09:38:55,75,CHUTE 22 PHOTO BLOCKED - OVERSIZED PACKAGE,Zone A,CHUTE22_JAM_PB
2024-03-15 09:55:33,20,CHUTE 31 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone D,CHUTE31_JAM_PB
2024-03-15 10:12:17,110,CHUTE 18 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone B,CHUTE18_JAM_PB
2024-03-15 10:28:44,60,IND01 PHOTO BLOCKED - INDUCT BACKUP,Zone A,IND01_JAM_PB
2024-03-15 10:45:28,85,CHUTE 12 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone A,CHUTE12_JAM_PB
2024-03-15 11:02:11,45,CHUTE 09 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE09_JAM_PB
2024-03-16 06:30:22,55,CHUTE 18 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone B,CHUTE18_JAM_PB
2024-03-16 06:48:33,130,CHUTE 12 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone A,CHUTE12_JAM_PB
2024-03-16 07:05:17,40,CHUTE 22 PHOTO BLOCKED - OVERSIZED PACKAGE,Zone A,CHUTE22_JAM_PB
2024-03-16 07:22:44,95,CHUTE 18 PHOTO BLOCKED - MULTIPLE PACKAGES STACKED,Zone B,CHUTE18_JAM_PB
2024-03-16 07:38:11,30,IND01 PHOTO BLOCKED - INDUCT BACKUP,Zone A,IND01_JAM_PB
2024-03-16 07:55:55,165,CHUTE 05 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE05_JAM_PB
2024-03-16 08:12:28,50,CHUTE 31 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone D,CHUTE31_JAM_PB
2024-03-16 08:28:44,70,CHUTE 18 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone B,CHUTE18_JAM_PB
2024-03-16 08:45:17,25,CHUTE 09 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE09_JAM_PB
2024-03-16 09:02:33,140,CHUTE 12 PHOTO BLOCKED - MULTIPLE PACKAGES STACKED,Zone A,CHUTE12_JAM_PB
2024-03-16 09:18:11,35,IND02 PHOTO BLOCKED - INDUCT BACKUP,Zone B,IND02_JAM_PB
2024-03-16 09:35:55,80,CHUTE 22 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone A,CHUTE22_JAM_PB
2024-03-16 09:52:28,105,LOAD DETECT JAM - BELT ACCUMULATION,Zone A,LD_MAIN_JAM
2024-03-17 06:25:33,60,CHUTE 18 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone B,CHUTE18_JAM_PB
2024-03-17 06:42:17,45,CHUTE 12 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone A,CHUTE12_JAM_PB
2024-03-17 06:58:44,155,CHUTE 22 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone A,CHUTE22_JAM_PB
2024-03-17 07:15:28,30,CHUTE 09 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone C,CHUTE09_JAM_PB
2024-03-17 07:32:11,90,CHUTE 18 PHOTO BLOCKED - MULTIPLE PACKAGES STACKED,Zone B,CHUTE18_JAM_PB
2024-03-17 07:48:55,40,IND01 PHOTO BLOCKED - INDUCT BACKUP,Zone A,IND01_JAM_PB
2024-03-17 08:05:33,75,CHUTE 05 PHOTO BLOCKED - OVERSIZED PACKAGE,Zone C,CHUTE05_JAM_PB
2024-03-17 08:22:17,110,CHUTE 18 PHOTO BLOCKED - CHUTE FULL CONDITION,Zone B,CHUTE18_JAM_PB
2024-03-17 08:38:44,50,CHUTE 31 PHOTO BLOCKED - PACKAGE JAM DETECTED,Zone D,CHUTE31_JAM_PB
2024-03-17 08:55:28,35,LOAD DETECT JAM - BELT ACCUMULATION,Zone A,LD_MAIN_JAM
