lane,shift,date,cpt_time,bucket,location
CX-4521,Day,2024-03-15,08:00,Late to SLAM,F12
CX-7832,Day,2024-03-15,08:00,FC Missort,F18
CX-4521,Day,2024-03-15,10:00,Chute Missort,F22
CX-9011,Day,2024-03-15,09:00,Late to SLAM,F05
CX-7832,Night,2024-03-15,12:00,FC Missort,F18
CX-4521,Night,2024-03-15,12:00,Late to Divert,F12
CX-3344,Night,2024-03-15,12:00,Chute Missort,F09
CX-7832,Day,2024-03-16,08:00,FC Missort,F18
CX-3344,Day,2024-03-16,08:00,Late to SLAM,F09
CX-7832,Day,2024-03-16,09:00,Chute Missort,F18
CX-9011,Day,2024-03-16,09:00,Late to Divert,F05
CX-4521,Night,2024-03-16,12:00,FC Missort,F22
CX-7832,Night,2024-03-16,12:00,FC Missort,F18
CX-2211,Night,2024-03-16,12:00,Chute Missort,F15
CX-4521,Day,2024-03-17,08:00,Good,F12
CX-7832,Day,2024-03-17,08:00,Late to SLAM,F18
CX-5566,Day,2024-03-17,09:00,FC Missort,F31
CX-4521,Day,2024-03-17,09:00,Chute Missort,F22
CX-3344,Day,2024-03-17,09:00,Good,F09
CX-7832,Night,2024-03-17,12:00,FC Missort,F18
CX-2211,Night,2024-03-17,14:00,Late to SLAM,F15
CX-4521,Night,2024-03-17,14:00,Good,F12
CX-9011,Night,2024-03-17,14:00,Good,F05
CX-5566,Night,2024-03-17,14:00,Late to Divert,F31
CX-8877,Night,2024-03-17,14:00,Good,F27
