amazon_barcode,first_slam_time,route,shift,last_chute,level_0,lumin_dea_level_1,level_2,dea_bucket,process_path,slam_station,cpt,departure_time,dea_miss_qty,first_divert_time,container_close
TBA932847561000,2024-03-15 06:23:11,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-15 08:00:00,2024-03-15 07:45:00,0,2024-03-15 06:24:00,2024-03-15 07:30:00
TBA932847561001,2024-03-15 06:25:33,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-15 08:00:00,2024-03-15 07:45:00,0,2024-03-15 06:26:00,2024-03-15 07:30:00
TBA932847561002,2024-03-15 06:31:45,CX-7832,Day,F18,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,AMZL,SS-02,2024-03-15 08:00:00,2024-03-15 07:45:00,1,2024-03-15 06:32:00,2024-03-15 07:30:00
TBA932847561003,2024-03-15 06:45:22,CX-9011,Day,F05,Good,On Time,Delivered,Good - On Time,UPS,SS-03,2024-03-15 09:00:00,2024-03-15 08:50:00,0,2024-03-15 06:46:00,2024-03-15 08:30:00
TBA932847561004,2024-03-15 07:02:18,CX-4521,Day,F22,Sortation,Chute Missort,Wrong Chute,Chute Missort - Wrong Chute,AMZL,SS-01,2024-03-15 08:00:00,2024-03-15 07:45:00,1,2024-03-15 07:03:00,2024-03-15 07:30:00
TBA932847561005,2024-03-15 07:15:41,CX-3344,Day,F09,Good,On Time,Delivered,Good - On Time,AMZL,SS-04,2024-03-15 10:00:00,2024-03-15 09:45:00,0,2024-03-15 07:16:00,2024-03-15 09:30:00
TBA932847561006,2024-03-15 07:22:09,CX-7832,Day,F18,Sortation,FC Missort,Late Induct,FC Missort - Late Induct,AMZL,SS-02,2024-03-15 08:00:00,2024-03-15 07:45:00,1,2024-03-15 07:23:00,2024-03-15 07:30:00
TBA932847561007,2024-03-15 07:38:55,CX-5566,Day,F31,Good,On Time,Delivered,Good - On Time,FedEx,SS-05,2024-03-15 11:00:00,2024-03-15 10:45:00,0,2024-03-15 07:39:00,2024-03-15 10:30:00
TBA932847561008,2024-03-15 07:44:12,CX-4521,Day,F12,Good,On Time,Delivered,Good - On Time,AMZL,SS-01,2024-03-15 08:00:00,2024-03-15 07:45:00,0,2024-03-15 07:45:00,2024-03-15 07:30:00
TBA932847561009,2024-03-15 07:51:33,CX-9011,Day,F05,Sortation,Late to SLAM,Processing Delay,Late to SLAM - Processing,UPS,SS-03,2024-03-15 09:00:00,2024-03-15 08:50:00,1,2024-03-15 07:52:00,2024-03-15 08:30:00
TBA932847561010,2024-03-15 08:05:27,CX-2211,Day,F15,Good,On Time,Delivered,Good - On Time,AMZL,SS-06,2024-03-15 10:00:00,2024-03-15 09:45:00,0,2024-03-15 08:06:00,2024-03-15 09:30:00
TBA932847561011,2024-03-15 08:12:44,CX-4521,Day,F22,Sortation,Chute Missort,Wrong Chute,Chute Missort - Wrong Chute,AMZL,SS-01,2024-03-15 10:00:00,2024-03-15 09:45:00,1,2024-03-15 08:13:00,2024-03-15 09:30:00
TBA932847561012,2024-03-15 08:28:19,CX-3344,Day,F09,Good,On Time,Delivered,Good - On Time,AMZL,SS-04,2024-03-15 10:00:00,2024-03-15 09:45:00,0,2024-03-15 08:29:00,2024-03-15 09:30:00
TBA932847561013,2024-03-15 08:35:52,CX-8877,Day,F27,Good,On Time,Delivered,Good - On Time,USPS,SS-07,2024-03-15 12:00:00,2024-03-15 11:45:00,0,2024-03-15 08:36:00,2024-03-15 11:30:00
TBA932847561014,2024-03-15 08:42:11,CX-7832,Day,F18,Sortation,FC Missort,Wrong Route,FC Missort - Wrong Route,AMZL,SS-02,2024-03-15 10:00:00,2024-03-15 09:45:00,1,2024-03-15 08:43:00,2024-03-15 09:30:00
TBA932847561015,2024-03-15 09:01:38,CX-5566,Night,F31,Good,On Time,Delivered,Good - On Time,FedEx,SS-05,2024-03-15 11:00:00,2024-03-15 10:45:00,0,2024-03-15 09:02:00,2024-03-15 10:30:00
TBA932847561016,2024-03-15 09:15:24,CX-4521,Night,F12,Sortation,Late to Divert,Equipment Jam,Late to Divert - Jam,AMZL,SS-01,2024-03-15 10:00:00,2024-03-15 09:45:00,1,2024-03-15 09:25:00,2024-03-15 09:30:00
TBA932847561017,2024-03-15 09:28:47,CX-2211,Night,F15,Good,On Time,Delivered,Good - On Time,AMZL,SS-06,2024-03-15 12:00:00,2024-03-15 11:45:00,0,2024-03-15 09:29:00,2024-03-15 11:30:00
